MeetingDate,RaceName,RaceNumber,RaceTime
2025-02-11,R1 Kilmore,1,02:30 AM
2025-02-11,R2 Kilmore,2,03:00 AM
2025-02-11,R3 Kilmore,3,03:30 AM
2025-02-11,R4 Kilmore,4,04:00 AM
2025-02-11,R5 Kilmore,5,04:30 AM
2025-02-11,R6 Kilmore,6,05:00 AM
2025-02-11,R7 Kilmore,7,05:30 AM
2025-02-11,R8 Kilmore,8,06:00 AM
2025-02-11,R1 Goulburn,1,02:15 AM
2025-02-11,R2 Goulburn,2,02:50 AM
2025-02-11,R3 Goulburn,3,03:25 AM
2025-02-11,R4 Goulburn,4,04:05 AM
2025-02-11,R5 Goulburn,5,04:45 AM
2025-02-11,R6 Goulburn,6,05:20 AM
2025-02-11,R7 Goulburn,7,05:55 AM
2025-02-11,R8 Goulburn,8,06:30 AM
2025-02-10,R1 Varese,1,01:10 PM
2025-02-10,R2 Varese,2,01:45 PM
2025-02-10,R3 Varese,3,02:20 PM
2025-02-10,R4 Varese,4,02:55 PM
2025-02-10,R5 Varese,5,03:25 PM
2025-02-10,R6 Varese,6,04:00 PM
2025-02-10,R7 Varese,7,04:35 PM
2025-02-10,R1 Plumpton,1,01:45 PM
2025-02-10,R2 Plumpton,2,02:15 PM
2025-02-10,R3 Plumpton,3,02:45 PM
2025-02-10,R4 Plumpton,4,03:15 PM
2025-02-10,R5 Plumpton,5,03:45 PM
2025-02-10,R6 Plumpton,6,04:15 PM
2025-02-10,R7 Plumpton,7,04:45 PM
2025-02-10,R1 Catterick,1,02:00 PM
2025-02-10,R2 Catterick,2,02:30 PM
2025-02-10,R3 Catterick,3,03:00 PM
2025-02-10,R4 Catterick,4,03:30 PM
2025-02-10,R5 Catterick,5,04:00 PM
2025-02-10,R6 Catterick,6,04:30 PM
2025-02-10,R1 Wolverhampton,1,04:25 PM
2025-02-10,R2 Wolverhampton,2,05:00 PM
2025-02-10,R3 Wolverhampton,3,05:30 PM
2025-02-10,R4 Wolverhampton,4,06:00 PM
2025-02-10,R5 Wolverhampton,5,06:30 PM
2025-02-10,R6 Wolverhampton,6,07:00 PM
2025-02-10,R7 Wolverhampton,7,07:30 PM
2025-02-10,R8 Wolverhampton,8,08:00 PM
2025-02-10,R9 Wolverhampton,9,08:30 PM
2025-02-10,R1 Palermo,1,07:00 PM
2025-02-10,R2 Palermo,2,07:30 PM
2025-02-10,R3 Palermo,3,08:00 PM
2025-02-10,R4 Palermo,4,08:30 PM
2025-02-10,R5 Palermo,5,09:00 PM
2025-02-10,R6 Palermo,6,09:30 PM
2025-02-10,R7 Palermo,7,10:00 PM
2025-02-10,R8 Palermo,8,10:30 PM
2025-02-10,R9 Palermo,9,11:00 PM
2025-02-10,R10 Palermo,10,11:30 PM
2025-02-10,R1 Gavea,1,09:00 PM
2025-02-10,R2 Gavea,2,09:30 PM
2025-02-10,R3 Gavea,3,10:00 PM
2025-02-10,R4 Gavea,4,10:30 PM
2025-02-10,R5 Gavea,5,11:00 PM
2025-02-10,R6 Gavea,6,11:30 PM
2025-02-11,R7 Gavea,7,12:00 AM
2025-02-11,R8 Gavea,8,12:30 AM
2025-02-11,R9 Gavea,9,01:00 AM
2025-02-10,R1 Santiago,1,04:00 PM
2025-02-10,R2 Santiago,2,04:27 PM
2025-02-10,R3 Santiago,3,04:51 PM
2025-02-10,R4 Santiago,4,05:18 PM
2025-02-10,R5 Santiago,5,05:44 PM
2025-02-10,R6 Santiago,6,06:11 PM
2025-02-10,R7 Santiago,7,06:38 PM
2025-02-10,R8 Santiago,8,07:05 PM
2025-02-10,R9 Santiago,9,07:31 PM
2025-02-10,R10 Santiago,10,08:00 PM
2025-02-10,R11 Santiago,11,08:30 PM
2025-02-10,R12 Santiago,12,09:00 PM
2025-02-10,R13 Santiago,13,09:30 PM
2025-02-10,R14 Santiago,14,10:00 PM
2025-02-10,R15 Santiago,15,10:30 PM
2025-02-10,R16 Santiago,16,11:00 PM
2025-02-10,R17 Santiago,17,11:30 PM
2025-02-11,R18 Santiago,18,12:00 AM
2025-02-10,R1 Mahoning Valley,1,05:15 PM
2025-02-10,R2 Mahoning Valley,2,05:43 PM
2025-02-10,R3 Mahoning Valley,3,06:11 PM
2025-02-10,R4 Mahoning Valley,4,06:39 PM
2025-02-10,R5 Mahoning Valley,5,07:07 PM
2025-02-10,R6 Mahoning Valley,6,07:35 PM
2025-02-10,R7 Mahoning Valley,7,08:03 PM
2025-02-10,R8 Mahoning Valley,8,08:31 PM
2025-02-10,R9 Mahoning Valley,9,08:59 PM
2025-02-10,R1 Turf Paradise,1,07:55 PM
2025-02-10,R2 Turf Paradise,2,08:23 PM
2025-02-10,R3 Turf Paradise,3,08:51 PM
2025-02-10,R4 Turf Paradise,4,09:20 PM
2025-02-10,R5 Turf Paradise,5,09:49 PM
2025-02-10,R6 Turf Paradise,6,10:18 PM
2025-02-10,R7 Turf Paradise,7,10:47 PM
2025-02-10,R8 Turf Paradise,8,11:16 PM
2025-02-10,R9 Turf Paradise,9,11:45 PM
2025-02-10,R1 Philadelphia,1,05:05 PM
2025-02-10,R2 Philadelphia,2,05:32 PM
2025-02-10,R3 Philadelphia,3,05:59 PM
2025-02-10,R4 Philadelphia,4,06:26 PM
2025-02-10,R5 Philadelphia,5,06:53 PM
2025-02-10,R6 Philadelphia,6,07:20 PM
2025-02-10,R7 Philadelphia,7,07:47 PM
2025-02-10,R8 Philadelphia,8,08:14 PM
2025-02-10,R9 Philadelphia,9,08:41 PM
2025-02-10,R10 Philadelphia,10,09:08 PM
2025-02-11,R1 Himeji,1,01:40 AM
2025-02-11,R2 Himeji,2,02:10 AM
2025-02-11,R3 Himeji,3,02:40 AM
2025-02-11,R4 Himeji,4,03:15 AM
2025-02-11,R5 Himeji,5,03:45 AM
2025-02-11,R6 Himeji,6,04:15 AM
2025-02-11,R7 Himeji,7,04:45 AM
2025-02-11,R8 Himeji,8,05:15 AM
2025-02-11,R9 Himeji,9,05:50 AM
2025-02-11,R10 Himeji,10,06:25 AM
2025-02-11,R11 Himeji,11,07:05 AM
2025-02-11,R12 Himeji,12,07:40 AM
2025-02-11,R1 Nagoya,1,03:25 AM
2025-02-11,R2 Nagoya,2,04:00 AM
2025-02-11,R3 Nagoya,3,04:30 AM
2025-02-11,R4 Nagoya,4,05:00 AM
2025-02-11,R5 Nagoya,5,05:35 AM
2025-02-11,R6 Nagoya,6,06:15 AM
2025-02-11,R7 Nagoya,7,06:50 AM
2025-02-11,R8 Nagoya,8,07:25 AM
2025-02-11,R9 Nagoya,9,07:55 AM
2025-02-11,R10 Nagoya,10,08:30 AM
2025-02-11,R11 Nagoya,11,09:00 AM
2025-02-11,R12 Nagoya,12,09:35 AM
2025-02-11,R1 Funabashi,1,05:40 AM
2025-02-11,R2 Funabashi,2,06:10 AM
2025-02-11,R3 Funabashi,3,06:40 AM
2025-02-11,R4 Funabashi,4,07:15 AM
2025-02-11,R5 Funabashi,5,07:45 AM
2025-02-11,R6 Funabashi,6,08:15 AM
2025-02-11,R7 Funabashi,7,08:45 AM
2025-02-11,R8 Funabashi,8,09:15 AM
2025-02-11,R9 Funabashi,9,09:50 AM
2025-02-11,R10 Funabashi,10,10:25 AM
2025-02-11,R11 Funabashi,11,11:05 AM
